Material_ID,Formula,Band_Gap_eV,Energia_Formacion_eatoms,Densidad_g_cm3,Score_Material_Solar,Score_Predicho_Ensemble,Score_Final
mp-567437,Pd(Se4Cl)2,1.3609,-0.2024,4.2344,1.0,1.0121,1.0085
mp-1206699,Si4P4Os,1.4341,-0.378,4.6739,1.0,1.0085,1.0059
mp-20782,LiInTe2,1.3847,-0.8371,4.7046,1.0,1.007,1.0049
mp-21365,InSbS3,1.4761,-0.5222,4.5054,1.0,1.0053,1.0037
mp-1541909,CsTeAu,1.416,-0.7102,5.5557,1.0,1.0052,1.0036
mp-1229160,Cs8(Re4S9)3,1.4298,-1.0483,5.448,1.0,1.0041,1.0029
mp-541291,Na3MoN3,1.4075,-0.5317,3.2783,1.0,1.0036,1.0025
mp-15046,Sb2(PSe3)3,1.5032,-0.1823,4.442,1.0,1.003,1.0021
mp-29531,CsBi3S5,1.4279,-0.6586,5.7387,1.0,1.0027,1.0019
mp-29403,GaCuI4,1.4404,-0.6676,4.6696,1.0,1.0024,1.0017
mp-1198419,K2Cd3Se4,1.4028,-1.0315,4.5582,1.0,1.0022,1.0015
mp-1223443,KBiS2,1.4158,-0.9206,4.7565,1.0,1.0018,1.0012
mp-1212726,Ga3Te3Cl,1.3323,-0.6167,4.8095,1.0,1.0016,1.0011
mp-4043,NbCu3Se4,1.3604,-0.596,5.4738,1.0,1.0016,1.0011
mp-652494,Cs4Re6S13,1.3959,-1.0485,5.7923,1.0,1.0015,1.0011
